date,time,state,city,latitude,longitude,temperature_2m,relativehumidity_2m,rain,windspeed_10m,weathercode,description
2024-07-11,11:00:00,Sarawak,Miri,4.4028,113.9933,30.1,69,0.0,9.5,3,Clouds generally forming or developing
2024-07-11,11:00:00,Sabah,Kota Kinabalu,5.975,116.0725,30.1,65,0.0,7.4,2,State of sky on the whole unchanged
2024-07-11,11:00:00,Putrajaya,Putrajaya,2.93,101.69,28.5,80,0.0,11.2,3,Clouds generally forming or developing
2024-07-11,11:00:00,Pahang,Kuantan,3.8167,103.3333,29.6,73,0.0,19.4,2,State of sky on the whole unchanged
2024-07-11,11:00:00,Perak,Ipoh,4.6,101.07,29.8,69,0.0,4.1,3,Clouds generally forming or developing
2024-07-11,11:00:00,Kedah,Alor Setar,6.1167,100.3667,28.6,79,0.0,10.4,80,"Rain shower(s), slight"
2024-07-11,11:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,30.1,70,0.0,8.8,3,Clouds generally forming or developing
2024-07-11,11:00:00,Selangor,Shah Alam,3.0833,101.5333,29.7,74,0.0,10.3,2,State of sky on the whole unchanged
2024-07-11,11:00:00,Sarawak,Kuching,1.5397,110.3542,29.6,75,0.0,10.5,2,State of sky on the whole unchanged
2024-07-11,11:00:00,Sabah,Lahad Datu,5.03,118.34,28.7,77,0.0,9.1,2,State of sky on the whole unchanged
2024-07-11,11:00:00,Johor,Muar,2.05,102.56,29.5,74,0.0,16.2,80,"Rain shower(s), slight"
2024-07-11,11:00:00,Sarawak,Bintulu,3.17,113.03,30.6,67,0.0,6.9,2,State of sky on the whole unchanged
2024-07-11,11:00:00,Johor,Kluang,2.0336,103.3194,28.6,83,0.0,12.1,80,"Rain shower(s), slight"
2024-07-11,11:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,29.5,74,0.0,9.8,3,Clouds generally forming or developing
2024-07-11,11:00:00,Perlis,Kangar,6.4333,100.2,28.8,85,0.0,11.8,80,"Rain shower(s), slight"
2024-07-11,11:00:00,Terengganu,Kuala Terengganu,5.3303,103.1408,30.4,74,0.0,5.2,2,State of sky on the whole unchanged
2024-07-11,11:00:00,Terengganu,Cukai,4.2332,103.4479,30.0,71,0.0,17.1,2,State of sky on the whole unchanged
2024-07-11,11:00:00,Selangor,Petaling Jaya,3.1073,101.6067,29.7,74,0.0,10.3,2,State of sky on the whole unchanged
2024-07-11,11:00:00,Sabah,Tawau,4.2448,117.8911,28.4,80,0.0,7.9,3,Clouds generally forming or developing
2024-07-11,11:00:00,Melaka,Melaka,2.1889,102.2511,29.4,76,0.0,13.7,80,"Rain shower(s), slight"
2024-07-11,11:00:00,Pahang,Raub,3.7931,101.8569,28.7,75,0.0,3.7,2,State of sky on the whole unchanged
2024-07-11,11:00:00,Pulau Pinang,George Town,5.4145,100.3292,29.4,74,0.0,9.8,3,Clouds generally forming or developing
2024-07-11,11:00:00,Pahang,Kuala Lipis,4.184,102.042,28.5,80,0.0,1.3,2,State of sky on the whole unchanged
2024-07-11,11:00:00,Kelantan,Kota Bharu,6.1333,102.25,29.8,77,0.0,7.1,3,Clouds generally forming or developing
2024-07-11,11:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,28.3,82,0.0,9.2,3,Clouds generally forming or developing
2024-07-11,11:00:00,Sabah,Sandakan,5.8388,118.1173,29.5,72,0.0,8.5,3,Clouds generally forming or developing
2024-07-11,11:00:00,Sarawak,Sibu,2.3,111.8167,28.9,77,0.0,7.4,3,Clouds generally forming or developing
2024-07-11,11:00:00,Selangor,Klang,3.0333,101.45,29.4,77,0.0,10.3,3,Clouds generally forming or developing
2024-07-11,11:00:00,Perak,Teluk Intan,4.0259,101.0213,29.5,76,0.0,11.5,3,Clouds generally forming or developing
2024-07-11,11:00:00,Labuan,Labuan,5.2803,115.2475,29.2,77,0.0,6.9,2,State of sky on the whole unchanged
2024-07-11,11:00:00,Johor,Johor Bahru,1.4556,103.7611,29.3,75,0.0,14.3,80,"Rain shower(s), slight"
2024-07-11,11:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,29.5,72,0.0,7.0,2,State of sky on the whole unchanged
2024-07-11,11:00:00,Kedah,Sungai Petani,5.65,100.48,30.2,71,0.0,7.7,3,Clouds generally forming or developing
2024-07-11,11:00:00,Johor,Batu Pahat,1.85,102.93,28.7,82,0.0,13.3,80,"Rain shower(s), slight"
2024-07-11,11:00:00,Perak,Taiping,4.85,100.7333,29.8,68,0.0,9.0,3,Clouds generally forming or developing
2024-07-11,10:00:00,Terengganu,Cukai,4.2332,103.4479,28.8,77,0.0,13.8,1,Clouds generally dissolving or becoming less developed
2024-07-11,10:00:00,Kedah,Sungai Petani,5.65,100.48,28.8,80,0.0,2.6,3,Clouds generally forming or developing
2024-07-11,10:00:00,Selangor,Shah Alam,3.0833,101.5333,28.6,78,0.0,10.5,2,State of sky on the whole unchanged
2024-07-11,10:00:00,Sarawak,Miri,4.4028,113.9933,29.3,76,0.0,8.3,2,State of sky on the whole unchanged
2024-07-11,10:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,28.9,78,0.0,5.1,3,Clouds generally forming or developing
2024-07-11,10:00:00,Pahang,Kuantan,3.8167,103.3333,28.6,79,0.0,17.2,2,State of sky on the whole unchanged
2024-07-11,10:00:00,Pulau Pinang,George Town,5.4145,100.3292,28.9,76,0.0,8.6,3,Clouds generally forming or developing
2024-07-11,10:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,29.0,76,0.0,8.6,3,Clouds generally forming or developing
2024-07-11,10:00:00,Perak,Teluk Intan,4.0259,101.0213,28.5,79,0.0,8.7,3,Clouds generally forming or developing
2024-07-11,10:00:00,Johor,Kluang,2.0336,103.3194,27.6,86,0.0,11.7,80,"Rain shower(s), slight"
2024-07-11,10:00:00,Terengganu,Kuala Terengganu,5.3303,103.1408,29.3,79,0.0,3.9,2,State of sky on the whole unchanged
2024-07-11,10:00:00,Sabah,Sandakan,5.8388,118.1173,28.4,77,0.0,9.1,3,Clouds generally forming or developing
2024-07-11,10:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,28.6,76,0.0,6.8,2,State of sky on the whole unchanged
2024-07-11,10:00:00,Sabah,Kota Kinabalu,5.975,116.0725,29.6,67,0.0,6.4,2,State of sky on the whole unchanged
2024-07-11,10:00:00,Sabah,Lahad Datu,5.03,118.34,28.2,79,0.0,8.0,3,Clouds generally forming or developing
2024-07-11,10:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,27.7,84,0.0,7.4,3,Clouds generally forming or developing
2024-07-11,10:00:00,Kelantan,Kota Bharu,6.1333,102.25,28.6,82,0.0,6.3,3,Clouds generally forming or developing
2024-07-11,10:00:00,Selangor,Klang,3.0333,101.45,28.1,83,0.0,9.4,3,Clouds generally forming or developing
2024-07-11,10:00:00,Sarawak,Sibu,2.3,111.8167,27.9,83,0.0,6.3,3,Clouds generally forming or developing
2024-07-11,10:00:00,Pahang,Raub,3.7931,101.8569,27.4,84,0.0,2.7,2,State of sky on the whole unchanged
2024-07-11,10:00:00,Johor,Muar,2.05,102.56,28.7,77,0.0,14.4,80,"Rain shower(s), slight"
2024-07-11,10:00:00,Kedah,Alor Setar,6.1167,100.3667,28.3,80,0.0,7.9,80,"Rain shower(s), slight"
2024-07-11,10:00:00,Melaka,Melaka,2.1889,102.2511,28.5,80,0.0,10.8,80,"Rain shower(s), slight"
2024-07-11,10:00:00,Perlis,Kangar,6.4333,100.2,28.6,87,0.0,8.0,80,"Rain shower(s), slight"
2024-07-11,10:00:00,Johor,Batu Pahat,1.85,102.93,28.2,82,0.0,12.3,80,"Rain shower(s), slight"
2024-07-11,10:00:00,Pahang,Kuala Lipis,4.184,102.042,27.6,83,0.0,1.3,3,Clouds generally forming or developing
2024-07-11,10:00:00,Putrajaya,Putrajaya,2.93,101.69,27.7,85,0.0,8.1,3,Clouds generally forming or developing
2024-07-11,10:00:00,Johor,Johor Bahru,1.4556,103.7611,28.8,78,0.0,13.4,3,Clouds generally forming or developing
2024-07-11,10:00:00,Sarawak,Kuching,1.5397,110.3542,28.0,82,0.0,7.3,3,Clouds generally forming or developing
2024-07-11,10:00:00,Perak,Ipoh,4.6,101.07,28.4,74,0.0,3.2,3,Clouds generally forming or developing
2024-07-11,10:00:00,Selangor,Petaling Jaya,3.1073,101.6067,28.6,78,0.0,10.5,2,State of sky on the whole unchanged
2024-07-11,10:00:00,Labuan,Labuan,5.2803,115.2475,28.7,79,0.0,5.9,3,Clouds generally forming or developing
2024-07-11,10:00:00,Perak,Taiping,4.85,100.7333,28.8,73,0.0,7.9,3,Clouds generally forming or developing
2024-07-11,10:00:00,Sabah,Tawau,4.2448,117.8911,27.9,83,0.0,8.4,3,Clouds generally forming or developing
2024-07-11,10:00:00,Sarawak,Bintulu,3.17,113.03,29.4,75,0.0,6.5,2,State of sky on the whole unchanged
2024-07-11,09:00:00,Selangor,Petaling Jaya,3.1073,101.6067,27.3,84,0.0,6.2,2,State of sky on the whole unchanged
2024-07-11,09:00:00,Johor,Batu Pahat,1.85,102.93,28.0,83,0.0,9.4,3,Clouds generally forming or developing
2024-07-11,09:00:00,Selangor,Shah Alam,3.0833,101.5333,27.3,84,0.0,6.2,2,State of sky on the whole unchanged
2024-07-11,09:00:00,Selangor,Klang,3.0333,101.45,26.9,88,0.0,6.5,2,State of sky on the whole unchanged
2024-07-11,09:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,27.4,81,0.0,3.0,2,State of sky on the whole unchanged
2024-07-11,09:00:00,Kedah,Alor Setar,6.1167,100.3667,27.7,86,0.0,3.9,80,"Rain shower(s), slight"
2024-07-11,09:00:00,Pahang,Kuantan,3.8167,103.3333,27.4,84,0.0,13.3,1,Clouds generally dissolving or becoming less developed
2024-07-11,09:00:00,Perlis,Kangar,6.4333,100.2,27.5,90,0.0,6.0,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-07-11,09:00:00,Sarawak,Bintulu,3.17,113.03,28.1,82,0.0,6.2,3,Clouds generally forming or developing
2024-07-11,09:00:00,Johor,Kluang,2.0336,103.3194,26.9,91,0.0,5.8,3,Clouds generally forming or developing
2024-07-11,09:00:00,Terengganu,Cukai,4.2332,103.4479,27.7,81,0.0,11.7,1,Clouds generally dissolving or becoming less developed
2024-07-11,09:00:00,Putrajaya,Putrajaya,2.93,101.69,26.5,91,0.0,2.9,3,Clouds generally forming or developing
2024-07-11,09:00:00,Sabah,Tawau,4.2448,117.8911,27.3,86,0.0,7.5,3,Clouds generally forming or developing
2024-07-11,09:00:00,Perak,Teluk Intan,4.0259,101.0213,26.8,88,0.0,4.9,3,Clouds generally forming or developing
2024-07-11,09:00:00,Perak,Ipoh,4.6,101.07,27.3,78,0.0,0.8,3,Clouds generally forming or developing
2024-07-11,09:00:00,Perak,Taiping,4.85,100.7333,27.7,79,0.0,6.5,3,Clouds generally forming or developing
2024-07-11,09:00:00,Sabah,Kota Kinabalu,5.975,116.0725,28.6,70,0.0,5.6,3,Clouds generally forming or developing
2024-07-11,09:00:00,Kelantan,Kota Bharu,6.1333,102.25,26.9,89,0.0,5.5,3,Clouds generally forming or developing
2024-07-11,09:00:00,Sarawak,Kuching,1.5397,110.3542,26.5,86,0.0,6.4,3,Clouds generally forming or developing
2024-07-11,09:00:00,Pahang,Kuala Lipis,4.184,102.042,26.0,92,0.0,1.0,2,State of sky on the whole unchanged
2024-07-11,09:00:00,Sabah,Sandakan,5.8388,118.1173,27.3,84,0.0,7.7,3,Clouds generally forming or developing
2024-07-11,09:00:00,Sabah,Lahad Datu,5.03,118.34,27.5,82,0.0,6.1,3,Clouds generally forming or developing
2024-07-11,09:00:00,Sarawak,Sibu,2.3,111.8167,26.7,87,0.0,6.3,3,Clouds generally forming or developing
2024-07-11,09:00:00,Pahang,Raub,3.7931,101.8569,25.6,94,0.0,2.1,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-11,09:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,26.8,89,0.0,2.9,3,Clouds generally forming or developing
2024-07-11,09:00:00,Labuan,Labuan,5.2803,115.2475,28.0,82,0.0,5.9,2,State of sky on the whole unchanged
2024-07-11,09:00:00,Johor,Johor Bahru,1.4556,103.7611,28.0,81,0.0,10.7,3,Clouds generally forming or developing
2024-07-11,09:00:00,Johor,Muar,2.05,102.56,28.2,81,0.0,10.4,2,State of sky on the whole unchanged
2024-07-11,09:00:00,Kedah,Sungai Petani,5.65,100.48,27.3,89,0.0,1.8,3,Clouds generally forming or developing
2024-07-11,09:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,27.6,86,0.0,2.9,3,Clouds generally forming or developing
2024-07-11,09:00:00,Sarawak,Miri,4.4028,113.9933,27.8,86,0.0,7.4,2,State of sky on the whole unchanged
2024-07-11,09:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,28.2,81,0.0,8.0,80,"Rain shower(s), slight"
2024-07-11,09:00:00,Terengganu,Kuala Terengganu,5.3303,103.1408,27.6,87,0.0,1.6,2,State of sky on the whole unchanged
2024-07-11,09:00:00,Melaka,Melaka,2.1889,102.2511,27.6,85,0.0,7.2,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-07-11,09:00:00,Pulau Pinang,George Town,5.4145,100.3292,28.2,81,0.0,8.0,80,"Rain shower(s), slight"
2024-07-11,08:00:00,Sabah,Sandakan,5.8388,118.1173,26.0,90,0.0,6.6,3,Clouds generally forming or developing
2024-07-11,08:00:00,Perlis,Kangar,6.4333,100.2,26.7,90,0.0,3.1,80,"Rain shower(s), slight"
2024-07-11,08:00:00,Perak,Ipoh,4.6,101.07,25.0,88,0.0,1.6,2,State of sky on the whole unchanged
2024-07-11,08:00:00,Pahang,Raub,3.7931,101.8569,23.4,99,0.0,2.4,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-11,08:00:00,Sarawak,Sibu,2.3,111.8167,25.5,93,0.0,4.8,3,Clouds generally forming or developing
2024-07-11,08:00:00,Selangor,Klang,3.0333,101.45,25.5,92,0.0,4.0,2,State of sky on the whole unchanged
2024-07-11,08:00:00,Kedah,Sungai Petani,5.65,100.48,25.4,96,0.0,2.3,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-11,08:00:00,Sarawak,Bintulu,3.17,113.03,26.4,87,0.0,4.5,3,Clouds generally forming or developing
2024-07-11,08:00:00,Pulau Pinang,George Town,5.4145,100.3292,27.9,84,0.0,7.6,3,Clouds generally forming or developing
2024-07-11,08:00:00,Kedah,Alor Setar,6.1167,100.3667,26.5,90,0.0,2.6,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-07-11,08:00:00,Perak,Teluk Intan,4.0259,101.0213,25.1,94,0.0,3.2,3,Clouds generally forming or developing
2024-07-11,08:00:00,Pahang,Kuantan,3.8167,103.3333,26.5,87,0.0,11.3,1,Clouds generally dissolving or becoming less developed
2024-07-11,08:00:00,Sarawak,Kuching,1.5397,110.3542,25.1,92,0.0,4.8,3,Clouds generally forming or developing
2024-07-11,08:00:00,Terengganu,Kuala Terengganu,5.3303,103.1408,24.5,98,0.0,1.8,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-11,08:00:00,Sabah,Tawau,4.2448,117.8911,26.4,90,0.0,6.6,3,Clouds generally forming or developing
2024-07-11,08:00:00,Kelantan,Kota Bharu,6.1333,102.25,25.7,93,0.0,4.7,3,Clouds generally forming or developing
2024-07-11,08:00:00,Sabah,Lahad Datu,5.03,118.34,26.4,88,0.0,2.2,3,Clouds generally forming or developing
2024-07-11,08:00:00,Selangor,Shah Alam,3.0833,101.5333,25.9,89,0.0,3.3,2,State of sky on the whole unchanged
2024-07-11,08:00:00,Sabah,Kota Kinabalu,5.975,116.0725,27.7,75,0.0,4.7,3,Clouds generally forming or developing
2024-07-11,08:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,25.5,89,0.0,3.4,2,State of sky on the whole unchanged
2024-07-11,08:00:00,Johor,Muar,2.05,102.56,27.6,84,0.0,7.2,2,State of sky on the whole unchanged
2024-07-11,08:00:00,Johor,Kluang,2.0336,103.3194,25.3,96,0.0,2.2,3,Clouds generally forming or developing
2024-07-11,08:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,27.9,84,0.0,7.6,3,Clouds generally forming or developing
2024-07-11,08:00:00,Johor,Batu Pahat,1.85,102.93,27.1,86,0.0,6.1,3,Clouds generally forming or developing
2024-07-11,08:00:00,Pahang,Kuala Lipis,4.184,102.042,23.8,98,0.0,1.6,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-11,08:00:00,Terengganu,Cukai,4.2332,103.4479,26.7,84,0.0,8.9,1,Clouds generally dissolving or becoming less developed
2024-07-11,08:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,25.3,94,0.0,2.9,3,Clouds generally forming or developing
2024-07-11,08:00:00,Sarawak,Miri,4.4028,113.9933,26.4,93,0.0,6.5,2,State of sky on the whole unchanged
2024-07-11,08:00:00,Putrajaya,Putrajaya,2.93,101.69,24.7,96,0.0,2.5,2,State of sky on the whole unchanged
2024-07-11,08:00:00,Labuan,Labuan,5.2803,115.2475,27.1,89,0.0,4.5,2,State of sky on the whole unchanged
2024-07-11,08:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,25.7,95,0.0,2.6,3,Clouds generally forming or developing
2024-07-11,08:00:00,Melaka,Melaka,2.1889,102.2511,27.0,86,0.0,4.7,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-07-11,08:00:00,Perak,Taiping,4.85,100.7333,26.8,85,0.0,5.9,3,Clouds generally forming or developing
2024-07-11,08:00:00,Johor,Johor Bahru,1.4556,103.7611,27.1,85,0.0,5.9,3,Clouds generally forming or developing
2024-07-11,08:00:00,Selangor,Petaling Jaya,3.1073,101.6067,25.9,89,0.0,3.3,2,State of sky on the whole unchanged
2024-07-11,07:00:00,Sarawak,Miri,4.4028,113.9933,25.5,98,0.0,5.2,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-11,07:00:00,Putrajaya,Putrajaya,2.93,101.69,24.3,97,0.0,2.5,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-11,07:00:00,Melaka,Melaka,2.1889,102.2511,27.0,86,0.0,4.7,3,Clouds generally forming or developing
2024-07-11,07:00:00,Pahang,Kuala Lipis,4.184,102.042,23.4,100,0.0,1.8,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-11,07:00:00,Labuan,Labuan,5.2803,115.2475,25.7,95,0.0,2.8,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-11,07:00:00,Sabah,Kota Kinabalu,5.975,116.0725,26.3,86,0.0,4.5,3,Clouds generally forming or developing
2024-07-11,07:00:00,Terengganu,Cukai,4.2332,103.4479,26.4,84,0.0,8.2,1,Clouds generally dissolving or becoming less developed
2024-07-11,07:00:00,Sabah,Sandakan,5.8388,118.1173,24.7,96,0.0,5.0,3,Clouds generally forming or developing
2024-07-11,07:00:00,Pahang,Raub,3.7931,101.8569,22.9,99,0.0,2.6,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-11,07:00:00,Kedah,Sungai Petani,5.65,100.48,25.2,96,0.0,2.6,3,Clouds generally forming or developing
2024-07-11,07:00:00,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,25.1,90,0.0,3.5,2,State of sky on the whole unchanged
2024-07-11,07:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,24.9,95,0.0,3.3,2,State of sky on the whole unchanged
2024-07-11,07:00:00,Sarawak,Sibu,2.3,111.8167,24.7,95,0.0,5.1,3,Clouds generally forming or developing
2024-07-11,07:00:00,Pahang,Kuantan,3.8167,103.3333,26.3,87,0.0,10.3,1,Clouds generally dissolving or becoming less developed
2024-07-11,07:00:00,Selangor,Petaling Jaya,3.1073,101.6067,25.5,89,0.0,3.3,2,State of sky on the whole unchanged
2024-07-11,07:00:00,Kedah,Alor Setar,6.1167,100.3667,26.4,89,0.0,2.3,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-07-11,07:00:00,Sabah,Lahad Datu,5.03,118.34,25.4,91,0.0,1.6,3,Clouds generally forming or developing
2024-07-11,07:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,25.6,95,0.0,3.1,3,Clouds generally forming or developing
2024-07-11,07:00:00,Johor,Johor Bahru,1.4556,103.7611,26.7,88,0.0,4.7,3,Clouds generally forming or developing
2024-07-11,07:00:00,Selangor,Shah Alam,3.0833,101.5333,25.5,89,0.0,3.3,2,State of sky on the whole unchanged
2024-07-11,07:00:00,Johor,Muar,2.05,102.56,27.3,86,0.0,7.0,2,State of sky on the whole unchanged
2024-07-11,07:00:00,Johor,Kluang,2.0336,103.3194,24.8,97,0.0,2.5,3,Clouds generally forming or developing
2024-07-11,07:00:00,Pulau Pinang,Butterworth,5.3992,100.3639,27.9,85,0.0,7.9,3,Clouds generally forming or developing
2024-07-11,07:00:00,Pulau Pinang,George Town,5.4145,100.3292,27.8,85,0.0,7.9,3,Clouds generally forming or developing
2024-07-11,07:00:00,Perak,Teluk Intan,4.0259,101.0213,24.6,96,0.0,3.5,2,State of sky on the whole unchanged
2024-07-11,07:00:00,Perak,Taiping,4.85,100.7333,26.6,86,0.0,5.9,3,Clouds generally forming or developing
2024-07-11,07:00:00,Sabah,Tawau,4.2448,117.8911,25.7,92,0.0,6.0,3,Clouds generally forming or developing
2024-07-11,07:00:00,Johor,Batu Pahat,1.85,102.93,26.6,87,0.0,5.8,2,State of sky on the whole unchanged
2024-07-11,07:00:00,Selangor,Klang,3.0333,101.45,25.1,93,0.0,3.6,2,State of sky on the whole unchanged
2024-07-11,07:00:00,Sarawak,Kuching,1.5397,110.3542,24.3,95,0.0,4.3,3,Clouds generally forming or developing
2024-07-11,07:00:00,Perlis,Kangar,6.4333,100.2,26.5,91,0.0,2.9,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-07-11,07:00:00,Sarawak,Bintulu,3.17,113.03,25.1,92,0.0,4.2,3,Clouds generally forming or developing
2024-07-11,07:00:00,Perak,Ipoh,4.6,101.07,24.9,88,0.0,1.5,2,State of sky on the whole unchanged
2024-07-11,07:00:00,Terengganu,Kuala Terengganu,5.3303,103.1408,24.0,99,0.0,2.3,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-11,07:00:00,Kelantan,Kota Bharu,6.1333,102.25,25.3,95,0.0,4.2,3,Clouds generally forming or developing
2024-07-11,06:00:00,Melaka,Melaka,2.1889,102.2511,27.0,87,0.0,3.8,80,"Rain shower(s), slight"
2024-07-11,06:00:00,Labuan,Labuan,5.2803,115.2475,25.4,97,0.0,2.5,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-11,06:00:00,Putrajaya,Putrajaya,2.93,101.69,24.4,97,0.0,2.5,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-07-11,06:00:00,Terengganu,Cukai,4.2332,103.4479,26.5,83,0.0,7.7,3,Clouds generally forming or developing
